Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Predicted Points,Predicted Grade
2,35.5,16.0,0,0,0,442.3535494513215,F
0,15.25,16.0,0,0,0,360.8194072376819,F
20,32.5,20.0,0,0,0,633.1601195369277,D
20,37.375,16.0,4,4,4,858.3796777537327,B
0,35.625,14.0,4,4,4,658.483004879337,D
20,25.0,14.0,4,4,4,795.8762277607735,C
20,29.5,0.0,0,4,0,492.8014943762057,F
20,41.0,20.0,4,4,4,916.1881931800688,A
0,0.0,0.0,0,4,0,227.77110318929,F
20,40.0,14.0,4,4,4,843.5910570338499,B
20,10.5,0.0,0,4,0,432.362710630309,F
20,38.25,14.0,4,4,4,838.0243269519909,B
20,37.0,18.0,0,0,0,624.3358524761794,D
20,26.0,14.0,0,0,0,543.0675459905809,F
0,7.0,0.0,0,0,0,149.4665243961199,F
20,11.0,14.0,4,4,4,751.3423871059023,C
20,37.0,14.0,0,4,4,788.7221083505111,C
20,37.5,14.0,0,4,0,680.2204142205452,D
0,21.75,0.0,0,4,0,296.9576056352507,F
20,30.375,8.0,4,0,0,532.8942064959379,F
20,40.375,20.0,4,4,4,914.2000752936904,A
20,40.0,20.0,4,4,4,913.0072045618635,A
20,5.0,16.0,4,0,0,544.7314836796688,F
20,39.25,14.0,4,4,4,841.205315570196,B
19,39.5,16.0,4,4,4,856.5797172199252,B
0,0.0,14.0,0,0,0,289.170614967383,F
20,36.625,14.0,4,3,4,807.7123456672563,B
20,28.5,14.0,4,4,0,696.9174994854229,D
19,40.5,16.0,4,4,4,859.7607058381304,B
